age,income,transactions,credit_limit,avg_spent,payment_delay,churn
56,147595,33,16378,2489,28,1
69,31549,78,11864,9220,22,0
46,91216,17,19803,3104,10,1
32,45739,57,5279,2907,15,0
60,41209,83,18057,563,16,0
25,127051,97,8312,3312,13,1
38,107968,1,16440,4527,15,1
56,35116,13,3369,601,13,1
36,40045,27,17192,3635,5,1
40,46327,70,18450,1680,9,1
28,55709,59,6432,6009,16,1
28,63617,6,1687,8030,22,0
41,80139,97,14175,3228,9,1
53,46905,94,1068,8131,20,0
57,84148,99,11295,9090,9,0
41,92603,23,7774,904,13,0
20,118095,10,17803,3373,19,0
39,139779,51,13190,3768,16,0
19,62919,19,11789,3194,8,0
41,103521,51,7891,2967,14,1
61,112905,92,11316,4815,6,0
47,103400,87,1439,2421,1,0
55,108150,68,18592,4459,3,0
19,78446,84,19947,7340,19,1
38,72428,83,8466,5348,23,0
50,67894,42,18637,8123,17,0
29,101149,91,4209,3868,10,1
39,26447,57,4549,8372,4,1
61,25499,98,17998,1179,25,1
42,59041,68,4078,8006,7,0
66,51315,38,4490,1247,21,1
44,21299,62,4543,1821,19,1
59,140506,7,19284,8427,4,1
45,125005,71,7751,4248,1,0
33,24994,50,15906,6362,4,1
32,115414,52,19096,5289,2,0
64,101163,26,15425,1033,11,0
68,146759,26,19713,2318,18,1
61,27489,19,12811,2841,6,0
69,111647,9,18578,7194,18,0
20,52355,61,7781,5506,3,0
54,93805,20,18762,5045,22,1
68,88367,50,16563,7727,13,0
24,129906,80,15797,5407,18,1
38,137409,81,18133,8478,25,0
26,97355,22,1300,4985,25,1
56,136220,13,5695,1735,28,0
35,110349,12,13174,8155,17,0
21,107173,10,17222,1645,25,1
42,21996,65,17661,7920,6,0
31,139999,96,11750,1975,14,1
67,64387,30,8307,3421,20,1
26,134965,8,19545,6179,0,0
43,23089,21,14818,8196,11,1
19,118827,22,2389,5915,25,0
37,40659,18,9882,5438,28,1
45,65178,66,11040,2104,23,1
64,140053,48,7141,5547,18,1
24,115965,44,14110,9243,26,0
61,101268,9,6969,8675,22,0
25,105042,67,14162,8119,5,0
64,126471,54,10131,6617,25,0
52,90726,26,6037,8429,27,1
31,90111,85,15693,2336,12,0
34,126031,94,3451,6404,29,0
53,133682,92,1024,6976,5,1
67,54565,26,6962,7773,12,0
57,120435,34,3556,9816,14,0
21,109242,8,17444,1882,28,1
19,133204,10,8675,3900,15,0
23,149642,48,17506,8556,7,0
59,42884,55,6616,8726,12,0
21,37199,54,11294,2704,12,0
46,80038,78,18570,3844,27,0
35,77786,40,15010,3514,28,1
43,129636,15,14394,8419,19,0
61,124970,81,10922,2128,19,0
51,69294,18,5089,7264,11,0
27,98015,96,15448,6245,18,0
53,54178,23,3472,9496,16,0
31,32665,62,11469,1790,29,0
48,149604,46,8450,7510,25,0
65,20534,87,3964,3086,2,0
32,111828,99,9104,6623,14,1
25,56132,39,18694,5430,16,0
31,135720,15,3212,3050,5,0
40,56110,53,10454,1455,23,0
57,78754,88,7792,9271,18,1
38,83580,64,10554,2497,29,0
33,42469,63,9703,7483,11,1
62,84016,92,14219,7629,3,0
35,66233,80,16399,2630,20,0
64,122804,16,19229,7709,22,0
41,149863,70,8660,6799,11,0
43,86708,66,2702,4240,26,1
42,78232,13,17774,3000,21,1
62,113450,47,18038,7951,1,0
58,106437,9,5271,5807,6,0
46,126311,63,9955,7267,15,0
32,54409,34,12459,1997,23,0
62,135159,81,7674,9313,29,1
18,39324,91,18469,3644,11,0
42,28738,29,6446,8525,15,1
24,123030,37,2963,792,13,1
26,130093,43,10977,9346,0,1
41,44054,86,11466,3304,21,0
18,49709,64,6177,8104,26,0
61,129321,24,12160,7639,8,1
25,105643,71,5572,8328,6,1
41,148805,34,8543,6703,4,1
28,20363,48,9907,2121,28,0
68,30358,12,17626,8371,29,0
34,121613,23,7510,4514,9,1
25,135233,79,18221,4005,26,0
52,23240,97,4323,9210,9,0
52,92201,13,10537,3185,24,0
50,65689,87,11615,527,17,1
22,21936,96,2432,765,6,0
59,132272,45,8655,9998,24,0
56,111074,99,9431,7605,17,1
58,63965,65,9330,7406,12,1
45,97534,47,12385,5575,10,0
24,20882,58,9611,6319,9,1
26,40224,5,14872,1310,21,1
25,125227,77,17687,5176,8,0
29,143750,5,3162,3890,14,1
51,139299,60,7486,1110,13,1
50,145865,96,5102,5046,2,0
65,132012,21,16948,5527,23,0
40,143745,24,11418,6224,13,0
41,50825,18,2168,702,20,1
54,90740,21,1415,901,15,0
52,48885,54,11905,2527,22,1
61,60056,10,14432,9581,28,0
57,23203,24,6243,678,27,0
39,80241,85,17533,6317,2,1
44,22244,89,6899,2479,7,1
52,118322,60,1838,7685,1,0
18,135329,57,7144,4484,28,1
52,88619,23,10888,6165,23,0
54,41584,22,13531,5521,1,1
64,28521,68,16935,6022,22,0
31,70017,34,8466,6012,17,0
20,53541,70,16095,3483,6,1
18,49063,28,12193,9042,16,0
22,90268,95,2320,4782,5,0
43,145234,99,14264,6028,9,1
31,146218,39,13227,8488,6,1
56,138206,42,18907,7775,3,0
44,84952,23,6234,3287,10,1
26,113054,70,13070,5126,15,0
32,59563,80,7144,7061,26,0
32,59752,2,1552,6852,16,1
43,115233,24,17865,5308,27,0
59,22567,17,16969,9129,5,0
30,36121,65,1599,6388,19,0
68,21674,70,16098,6237,18,0
49,96411,69,15800,2858,19,0
56,129876,60,10356,9074,21,1
66,86275,50,13870,5890,20,1
69,87081,93,13424,4716,17,0
49,49140,12,2982,906,14,1
21,145139,47,19018,4840,1,1
47,29327,67,8830,565,18,1
54,90663,65,3997,727,26,1
40,43331,27,18070,2684,5,0
56,43004,48,12606,7300,11,1
62,127369,88,2759,8251,29,1
32,139243,62,8023,9621,0,1
60,30492,44,14892,6323,26,1
46,74797,19,19864,1680,22,1
53,78095,59,16409,9731,23,1
30,33749,8,10529,1601,22,0
49,83217,55,1114,2599,10,1
24,109044,47,13149,1013,18,1
68,29045,2,17952,2332,21,1
39,40116,94,16701,7637,29,1
45,38667,94,10745,6307,3,0
19,95057,39,3689,3616,20,0
59,94205,45,3988,6350,18,1
62,47302,32,4151,8098,20,1
23,31283,65,12719,4843,5,1
45,50935,38,16658,5128,7,1
45,92534,77,10013,6684,27,0
61,114342,11,7345,9481,21,1
61,51624,10,4574,1800,8,0
37,33440,59,8838,2447,9,0
47,131001,90,18992,2742,9,1
28,66501,55,17943,9786,29,1
45,107333,20,14329,1858,9,0
42,21269,81,15823,4156,25,1
56,27868,17,6565,807,3,0
50,50251,68,5435,1950,17,1
18,97909,5,6650,7866,11,1
44,104523,60,19265,2623,24,1
69,58729,23,8436,5382,10,1
30,35734,46,4708,3342,15,0
58,62429,52,15451,2164,18,1
20,61337,10,2709,6873,10,1
56,60325,46,10953,4448,22,1
23,103600,28,2692,4572,3,0
25,82514,97,16523,4134,11,1
44,28433,43,15322,714,27,0
26,133957,26,10437,3572,16,0
54,29111,55,1125,4972,23,1
50,123986,48,13944,2959,12,0
68,83753,29,2199,4206,27,1
59,133783,27,7092,1706,3,1
61,100583,18,17375,9101,26,1
41,93620,60,3711,3969,5,0
32,41751,74,10182,8907,6,0
49,36453,69,6995,5347,7,0
49,105844,74,9182,848,25,1
41,58968,21,6502,4151,1,1
58,50077,24,13920,3378,8,0
69,128582,3,19882,5249,9,0
